[fit LOOCV KRR]: 0.2766121249878779, Target Domain: AUSTRIA_1, 'AugKRR_MSE': 0.03667475766977447, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.42123862099833786, Target Domain: AUSTRIA_2, 'AugKRR_MSE': 0.041072418432795105, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.26980408502276987, Target Domain: AUSTRIA_3, 'AugKRR_MSE': 0.03439099001945851, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.26888153597246855, Target Domain: AUSTRIA_4, 'AugKRR_MSE': 0.049272384059119274, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.27349800302181393, Target Domain: AUSTRIA_5, 'AugKRR_MSE': 0.0542280668404163, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.2711828399915248, Target Domain: AUSTRIA_6, 'AugKRR_MSE': 0.03726956783983796, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.27358330704737455, Target Domain: AUSTRIA_7, 'AugKRR_MSE': 0.05423020834563679, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.2942653039935976, Target Domain: AUSTRIA_8, 'AugKRR_MSE': 0.052938644868256265, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.284948387008626, Target Domain: AUSTRIA_9, 'AugKRR_MSE': 0.04171748154976074, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.2835864709923044, Target Domain: AUSTRIA_0, 'AugKRR_MSE': 0.04080754198808159, 'AugKRR_selectedgamma': 0.20964981379948927, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.28991803200915456, Target Domain: BELGIUM_1, 'AugKRR_MSE': 0.08148737345080147, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2815687090042047, Target Domain: BELGIUM_2, 'AugKRR_MSE': 0.07882498895059292, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2938395540113561, Target Domain: BELGIUM_3, 'AugKRR_MSE': 0.0984217161383632, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.28561599901877344, Target Domain: BELGIUM_4, 'AugKRR_MSE': 0.09770458235780333, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3001270579989068, Target Domain: BELGIUM_5, 'AugKRR_MSE': 0.08709097722172017, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2840581489726901, Target Domain: BELGIUM_6, 'AugKRR_MSE': 0.0890605232717049, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2878393299761228, Target Domain: BELGIUM_7, 'AugKRR_MSE': 0.0674771130758039, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.28985152998939157, Target Domain: BELGIUM_8, 'AugKRR_MSE': 0.06663203214532211, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2865427340148017, Target Domain: BELGIUM_9, 'AugKRR_MSE': 0.07193803456702438, 'AugKRR_selectedgamma': 0.20780316123838524, 'AugKRR_selectedbest_alpha': 0.001953125}
