[fit LOOCV KRR]: 0.005471694006701, Target Domain: AUSTRIA_1, 'AugKRR_MSE': 0.030120406009433314, 'AugKRR_selectedgamma': 0.9173459095081911, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.00702954399457667, Target Domain: AUSTRIA_2, 'AugKRR_MSE': 0.029559562018143228, 'AugKRR_selectedgamma': 1.3275726682236375, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.011570998991373926, Target Domain: AUSTRIA_3, 'AugKRR_MSE': 0.1182086982426925, 'AugKRR_selectedgamma': 2.1225179906272107, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.006861106987344101, Target Domain: AUSTRIA_4, 'AugKRR_MSE': 0.02249695091746303, 'AugKRR_selectedgamma': 0.9305685613054374, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005794761993456632, Target Domain: AUSTRIA_5, 'AugKRR_MSE': 0.03765653052463917, 'AugKRR_selectedgamma': 2.2045060311069995, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.00551904299936723, Target Domain: AUSTRIA_6, 'AugKRR_MSE': 0.13110889408223497, 'AugKRR_selectedgamma': 1.4655822783180121, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005821384998853318, Target Domain: AUSTRIA_7, 'AugKRR_MSE': 0.036548658790042765, 'AugKRR_selectedgamma': 1.2695133646856778, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.007120801004930399, Target Domain: AUSTRIA_8, 'AugKRR_MSE': 0.07451629026741781, 'AugKRR_selectedgamma': 1.5204734688252586, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.00554189299873542, Target Domain: AUSTRIA_9, 'AugKRR_MSE': 0.028029451598814502, 'AugKRR_selectedgamma': 1.1991236340798583, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.01066448500205297, Target Domain: AUSTRIA_0, 'AugKRR_MSE': 0.026332022692036754, 'AugKRR_selectedgamma': 0.9333386140848169, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.006207292986800894, Target Domain: BELGIUM_1, 'AugKRR_MSE': 0.0614819805562019, 'AugKRR_selectedgamma': 3.4950902007794533, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.006484190991614014, Target Domain: BELGIUM_2, 'AugKRR_MSE': 0.10187797306685922, 'AugKRR_selectedgamma': 2.4172790995794036, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005535014002816752, Target Domain: BELGIUM_3, 'AugKRR_MSE': 0.32771004125555503, 'AugKRR_selectedgamma': 4.579871440814875, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005370917002437636, Target Domain: BELGIUM_4, 'AugKRR_MSE': 0.03328967682729666, 'AugKRR_selectedgamma': 1.064983506795757, 'AugKRR_selectedbest_alpha': 0.0625}
[fit LOOCV KRR]: 0.006381397004588507, Target Domain: BELGIUM_5, 'AugKRR_MSE': 0.01815716962158013, 'AugKRR_selectedgamma': 0.884638513555878, 'AugKRR_selectedbest_alpha': 0.0625}
[fit LOOCV KRR]: 0.010377674989285879, Target Domain: BELGIUM_6, 'AugKRR_MSE': 0.019313312447097306, 'AugKRR_selectedgamma': 1.5140176750995034, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.008673299991642125, Target Domain: BELGIUM_7, 'AugKRR_MSE': 0.03704788047794976, 'AugKRR_selectedgamma': 0.6606559532476538, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.01313886500429362, Target Domain: BELGIUM_8, 'AugKRR_MSE': 0.02910073521143429, 'AugKRR_selectedgamma': 1.064983506795757, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.01112465099140536, Target Domain: BELGIUM_9, 'AugKRR_MSE': 0.03540646142234311, 'AugKRR_selectedgamma': 1.3466501193104818, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.00589444900106173, Target Domain: BELGIUM_0, 'AugKRR_MSE': 0.05888427077344091, 'AugKRR_selectedgamma': 4.880762453485462, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.006108261994086206, Target Domain: CANADA_1, 'AugKRR_MSE': 0.010193497100736967, 'AugKRR_selectedgamma': 4.765752969315194, 'AugKRR_selectedbest_alpha': 0.0009765625}
