Target Domain,MSE,LOOCV KRR,Avg MSE,STD MSE,Avg MSE,STD MSE
AUSTRIA_1,0.036674757669775,0.83742011297727,0.044260206161314,0.007685153254471,0.044260206161314,0.007685153254471
AUSTRIA_2,0.041072418432795,0.599467804015148,,,0.083177002754956,0.011836076522355
AUSTRIA_3,0.034390990019459,0.654908359982073,,,0.54312879642454,0.017793120670258
AUSTRIA_4,0.049272384059119,0.699699807038996,,,0.047180878743722,0.005819957059022
AUSTRIA_5,0.054228066840416,1.14249681198271,,,0.022703910707118,0.002689021280021
AUSTRIA_6,0.037269567839838,1.41028508398449,,,0.221685786002009,0.013418710568027
AUSTRIA_7,0.054230208345637,1.69380087102763,,,0.213540834427222,0.043231527727039
AUSTRIA_8,0.052938644868256,0.846787507005501,,,0.589727448181382,0.03565274201936
AUSTRIA_9,0.041717481549761,0.773888266005087,,,0.155645984785872,0.02659468076276
AUSTRIA_0,0.040807541988082,1.24132257199381,,,0.153759620382436,0.026628588584288
BELGIUM_1,0.081487373450802,0.958090525993612,0.083177002754956,0.011836076522355,0.045371461391989,0.007373737716257
BELGIUM_2,0.078824988950593,0.815847284044139,,,0.041384543803112,0.003923811444268
BELGIUM_3,0.098421716138363,1.28007392404834,,,0.271482689254908,0.024344502593713
BELGIUM_4,0.097704582357803,1.03833286400186,,,1.24446607349242,0.030567317728345
BELGIUM_5,0.08709097722172,0.845865772978868,,,0.171618326000379,0.013759170165217
BELGIUM_6,0.089060523271705,0.930041507002898,,,0.133293649707317,0.020576107466387
BELGIUM_7,0.067477113075804,0.921807949023787,,,0.05293883928606,0.006913659318406
BELGIUM_8,0.066632032145322,0.946560210955795,,,0.445599922195457,0.015455614435192
BELGIUM_9,0.071938034567024,0.885412042960525,,,,
BELGIUM_0,0.093132686370425,0.910317083005793,,,,
CANADA_1,0.55619359879224,1.05430447799154,0.54312879642454,0.017793120670258,,
CANADA_2,0.569869163264439,0.824897343001794,,,,
CANADA_3,0.529006725860442,0.869066626008134,,,,
CANADA_4,0.506426757245306,1.09360080998158,,,,
CANADA_5,0.550310882141255,0.916090587037616,,,,
CANADA_6,0.549032425573191,0.768362068047281,,,,
CANADA_7,0.541609704216467,0.8098397970316,,,,
CANADA_8,0.538955881758226,1.10009138000896,,,,
CANADA_9,0.532604066015224,1.00304322899319,,,,
CANADA_0,0.557278759378613,0.793047418002971,,,,
DENMARK_1,0.04493278013116,0.990547952998895,0.047180878743722,0.005819957059022,,
