Target Domain,MSE,fit LOOCV,Avg MSE,STD MSE,Avg MSE,STD MSE
AUSTRIA_1,0.030120406009433,0.005495325021911,0.053457746514292,0.002396373991593,0.053457746514292,0.002396373991593
AUSTRIA_2,0.029559562018143,0.005821348051541,,,0.072226950165976,0.000186699791125
AUSTRIA_3,0.118208698242692,0.005521199025679,,,0.007573537686754,0.001596606486142
AUSTRIA_4,0.022496950917463,0.011550389986951,,,0.012741048588501,0.001953046966712
AUSTRIA_5,0.037656530524639,0.005763933993876,,,0.05137820069398,0.017325911940983
AUSTRIA_6,0.131108894082235,0.011427430959884,,,0.110294909780095,0.017673033997589
AUSTRIA_7,0.036548658790043,0.006532777973916,,,0.054487015105149,0.005162117153132
AUSTRIA_8,0.074516290267418,0.005903936980758,,,0.007979741709092,0.002240985309716
AUSTRIA_9,0.028029451598815,0.006391348026227,,,0.047124749130784,0.006172369005854
AUSTRIA_0,0.026332022692037,0.005510752031114,,,0.006002593695118,0.001529630448253
BELGIUM_1,0.061481980556202,0.005373303953093,0.072226950165976,0.000186699791125,0.018356448981946,0.002649861999223
BELGIUM_2,0.101877973066859,0.005903196986765,,,0.016912242880023,0.004324635043514
BELGIUM_3,0.327710041255555,0.005569288972765,,,0.020544023065649,0.008923371077722
BELGIUM_4,0.033289676827297,0.005459678999614,,,0.006469039061658,0.006483237949921
BELGIUM_5,0.01815716962158,0.005568562017288,,,0.012463144120425,0.009556125174465
BELGIUM_6,0.019313312447097,0.005550902045798,,,0.044422576423122,0.005014358664208
BELGIUM_7,0.03704788047795,0.005975449981634,,,0.05984453398294,0.001355678501611
BELGIUM_8,0.029100735211434,0.005612150998786,,,0.003324263703016,0.002540612911584
BELGIUM_9,0.035406461422343,0.005720449960791,,,,
BELGIUM_0,0.058884270773441,0.005695316998754,,,,
CANADA_1,0.010193497100737,0.005913435015827,0.007573537686754,0.001596606486142,,
CANADA_2,0.005914774219059,0.005673687031958,,,,
CANADA_3,0.007675682687118,0.006155349023175,,,,
CANADA_4,0.007893796920604,0.005491223011632,,,,
CANADA_5,0.006378918433839,0.005687611992471,,,,
CANADA_6,0.008950712688703,0.005660838040058,,,,
CANADA_7,0.00578884298184,0.00565267901402,,,,
CANADA_8,0.006091650394926,0.010729270987213,,,,
CANADA_9,0.008887195749006,0.005607999046333,,,,
CANADA_0,0.007960305691704,0.005596533010248,,,,
DENMARK_1,0.00591090443184,0.005507158988621,0.012741048588501,0.001953046966712,,
DENMARK_2,0.009022501811553,0.00583664997248,,,,
DENMARK_3,0.006254184514942,0.01184525800636,,,,
DENMARK_4,0.036439279936185,0.005767551017925,,,,
DENMARK_5,0.004861671147387,0.005680478003342,,,,
DENMARK_6,0.027317453611384,0.005523109983187,,,,
DENMARK_7,0.006731348770413,0.005867850035429,,,,
DENMARK_8,0.01445028196763,0.006382606981788,,,,
DENMARK_9,0.008004602313385,0.005400491994806,,,,
DENMARK_0,0.008418257380293,0.005606978025753,,,,
FRANCE_1,0.117654815489723,0.00595569802681,0.05137820069398,0.017325911940983,,
FRANCE_2,0.085760535959437,0.005877578980289,,,,
FRANCE_3,0.049368179085186,0.006330659030937,,,,
FRANCE_4,0.028524731587872,0.020663570030592,,,,
FRANCE_5,0.034969631357508,0.006060717976652,,,,
FRANCE_6,0.081523726290863,0.006173999980092,,,,
FRANCE_7,0.040227915261613,0.060944478027523,,,,
FRANCE_8,0.020196666010224,0.009340161981527,,,,
FRANCE_9,0.017753587587848,0.006165698985569,,,,
FRANCE_0,0.037802218309524,0.006218226975761,,,,
GERMANY_1,0.06768383020547,0.007426420983393,0.110294909780095,0.017673033997589,,
GERMANY_2,0.047745619670397,0.012133904034272,,,,
GERMANY_3,0.050912615818024,0.006326556962449,,,,
GERMANY_4,0.059746519060053,0.006334695965052,,,,
GERMANY_5,0.05998991033428,0.009023877035361,,,,
GERMANY_6,0.193539916032853,0.009969287028071,,,,
GERMANY_7,0.243432093220099,0.007882956997491,,,,
GERMANY_8,0.063265497034896,0.009108484024182,,,,
