Id,Domain,Start Time,Stop Time,Difference,Total Time,Max Time
15,AUSTRIA_1,05:43:23.15,06:03:51.83,00:20:29,02:43:07,01:29:54
16,AUSTRIA_1,06:03:52.50,06:50:15.70,00:46:23,,
17,AUSTRIA_1,06:50:16.37,06:56:37.46,00:06:21,,
18,AUSTRIA_1,06:56:38.16,08:26:31.89,01:29:54,,
21,AUSTRIA_2,08:26:37.70,08:31:05.54,00:04:28,02:37:31,01:20:06
22,AUSTRIA_2,08:31:06.19,09:27:11.86,00:56:06,,
23,AUSTRIA_2,09:27:12.52,09:44:04.26,00:16:52,,
24,AUSTRIA_2,09:44:04.93,11:04:10.50,01:20:06,,
25,CANADA_9,10:48:00.11,10:52:00.96,00:04:01,00:54:10,00:28:36
26,CANADA_9,10:52:01.75,11:07:09.56,00:15:08,,
30,CANADA_9,11:10:32.94,11:39:09.09,00:28:36,,
28,CANADA_9,11:07:09.87,11:10:32.63,00:03:23,,
27,AUSTRIA_3,11:04:15.44,11:07:17.57,00:03:02,01:46:32,01:01:48
29,AUSTRIA_3,11:07:17.92,11:25:44.96,00:18:27,,
31,AUSTRIA_3,11:25:45.70,11:40:00.05,00:14:14,,
33,AUSTRIA_3,11:40:00.37,12:41:48.42,01:01:48,,
32,DENMARK_9,11:39:13.03,11:48:13.12,00:09:00,01:16:20,00:38:09
34,DENMARK_9,11:48:14.06,12:26:22.62,00:38:09,,
35,DENMARK_9,12:26:22.93,12:31:29.43,00:05:06,,
36,DENMARK_9,12:31:30.17,12:50:38.22,00:19:08,,
37,AUSTRIA_4,12:41:53.48,12:46:50.11,00:04:57,00:31:06,00:13:20
38,AUSTRIA_4,12:46:50.43,12:57:22.49,00:10:32,,
39,AUSTRIA_4,12:57:23.04,12:59:40.91,00:02:18,,
40,AUSTRIA_4,12:59:41.52,13:13:01.27,00:13:20,,
41,AUSTRIA_5,13:13:03.81,13:14:35.48,00:01:32,00:28:02,00:13:35
42,AUSTRIA_5,13:14:36.01,13:23:02.39,00:08:26,,
43,AUSTRIA_5,13:23:02.74,13:27:31.82,00:04:29,,
44,AUSTRIA_5,13:27:32.23,13:41:06.89,00:13:35,,
45,AUSTRIA_6,13:41:09.33,13:42:42.03,00:01:33,00:24:15,00:08:45
46,AUSTRIA_6,13:42:42.47,13:50:21.71,00:07:39,,
47,AUSTRIA_6,13:50:22.08,13:56:40.04,00:06:18,,
48,AUSTRIA_6,13:56:40.61,14:05:25.77,00:08:45,,
49,AUSTRIA_7,14:05:28.57,14:06:57.82,00:01:29,00:29:13,00:15:11
50,AUSTRIA_7,14:06:58.14,14:15:08.83,00:08:11,,
